系統編號,英文名稱,中文名稱,圖片,備註,更新時間
3192057,abscissa,橫坐標,,,2017/7/24
3192058,absolute deviation,絕對偏差,,,2017/7/24
3192059,absolute extremum,絕對極值,,,2017/7/24
3192060,absolute inequality,絕對不等式,,,2017/7/24
3192061,absolute maximum,最大值；絕對極大值,,,2017/7/24
3192062,absolute minimum,最小值；絕對極小值,,,2017/7/24
3192063,absolute value,絕對值,,,2017/7/24
3192064,absolutely extreme value,絕對極值,,,2017/7/24
3192065,acceleration,加速度,,,2017/7/24
3192066,acute angle,銳角,,,2017/7/24
3192067,addend,加數,,,2017/7/24
3192068,addition,加法,,,2017/7/24
3192069,addition formula　　　　　　,加法公式,,,2017/7/24
3192070,addition of vectors,向量加法,,,2017/7/24
3192071,addition principle,加法原理,,,2017/7/24
3192072,additive inverse　,加法反元素,,,2017/7/24
3192073,adjacent side,鄰邊,,,2017/7/24
3192074,algebra,代數學；代數,,,2017/7/24
3192075,algorithm,演算法；算則,,,2017/7/24
3192076,amplitude,幅度；輻角,,,2017/7/24
3192077,amplitude of vibration,振幅,,,2017/7/24
3192078,analytic geometry,解析幾何[學],,,2017/7/24
3192079,angle,角,,,2017/7/24
3192080,angle in standard position,標準位置角,,,2017/7/24
3192081,angle of depression,俯角,,,2017/7/24
3192082,angle of elevation,仰角,,,2017/7/24
3192083,angle of inclination　　　　　　　,傾角；斜角,,,2017/7/24
3192084,angular bisector,角平分線；分角線,,,2017/7/24
3192085,annual rate of interest,年利率,,,2017/7/24
3192086,antilogarithm,真數,,,2017/7/24
3192087,approximate value,近似值,,,2017/7/24
3192088,arc length,弧長,,,2017/7/24
3192089,area function,面積函數,,,2017/7/24
3192090,argument,輻角；自變數；論證,,,2017/7/24
3192091,arithmetic average,算術平均數；算術平均值；等差中項,,,2017/7/24
3192092,arithmetic mean,算術平均數；算術平均值；等差中項,,,2017/7/24
3192093,arithmetic progression,等差數列；算術數列,,,2017/7/24
3192094,arithmetic sequence,等差數列；算術數列,,,2017/7/24
3192095,arithmetic series,算術級數；等差級數,,,2017/7/24
3192096,arithmetic-geometric mean inequality,算幾不等式,,,2017/7/24
3192097,arrangement in ascending power,升冪排列；升次排列,,,2017/7/24
3192098,arrangement in descending power,降冪排列；降次排列,,,2017/7/24
3192099,ascending power,升冪,,,2017/7/24
3192100,associative law,結合律,,,2017/7/24
3192101,associative law of addition,加法結合律,,,2017/7/24
3192102,associative law of multiplication,乘法結合律,,,2017/7/24
3192103,asymptote,漸近線,,,2017/7/24
3192104,asymptotic line,漸近線,,,2017/7/24
3192105,augmented matrix,增廣矩陣,,,2017/7/24
3192106,average,平均,,,2017/7/24
3192107,average rate of change,平均變化率,,,2017/7/24
3192108,average velocity,平均速度,,,2017/7/24
3192109,axiom,公理；公設,,,2017/7/24
3192110,axiom of parallel,平行公設；平行公理,,,2017/7/24
3192111,axis,軸　,,,2017/7/24
3192112,axis of abscissa,橫坐標軸,,,2017/7/24
3192113,axis of ordinate,縱坐標軸,,,2017/7/24
3192114,axis of symmetry,對稱軸,,,2017/7/24
3192115,azimuth,方位,,,2017/7/24
3192116,bar graph,長條圖　,,,2017/7/24
3192117,base,底[邊]；基[數]；基底,,,2017/7/24
3192118,base number,底數,,,2017/7/24
3192119,Bayes theorem,貝氏定理,,,2017/7/24
3192120,Bernoulli trial　,Bernoulli試探,,,2017/7/24
3192121,binomial,二項式,,,2017/7/24
3192122,binomial coefficient,二項式係數,,,2017/7/24
3192123,binomial distribution,二項分布；二項分配,,,2017/7/24
3192124,binomial theorem,二項式定理,,,2017/7/24
3192125,bisector of an angle,角平分線；分角線,,,2017/7/24
3192126,broken line graph,折線圖,,,2017/7/24
3192127,cancellation law of addition,加法消去律,,,2017/7/24
3192128,cancellation law of multiplication,乘法消去律,,,2017/7/24
3192129,capacity,容量,,,2017/7/24
3192130,Cartesian coordinates,笛卡兒坐標,,,2017/7/24
3192131,Cartesian product,笛卡兒積,,,2017/7/24
3192132,Cauchy inequality,柯西不等式,,,2017/7/24
3192133,census,普查　,,,2017/7/24
3192134,center,中心,,,2017/7/24
3192135,center of circle,圓心,,,2017/7/24
3192136,center of sphere,球心,,,2017/7/24
3192137,centimeter,公分,,,2017/7/24
3192138,central angle,圓心角,,,2017/7/24
3192139,certain event,必然事件,,,2017/7/24
3192140,chain rule,連鎖律；連鎖規則,,,2017/7/24
3192141,characteristic,特徵的；特性的；示性的；特徵數；示性數,,,2017/7/24
3192142,characteristic of logarithm　　　　,對數的首數,,,2017/7/24
3192143,chord,弦,,,2017/7/24
3192144,circle,圓,,,2017/7/24
3192145,circle of Apollonius,Apollonius圓,,,2017/7/24
3192146,circular conical surface,圓錐面,,,2017/7/24
3192147,circular cylinder,圓柱,,,2017/7/24
3192148,circular measure,弧度法；弳量法,,,2017/7/24
3192149,circular permutation,環狀排列,,,2017/7/24
3192150,circulating decimal,循環小數,,,2017/7/24
3192151,circumference of circle,圓周,,,2017/7/24
3192152,circumradius,外接圓半徑,,,2017/7/24
3192153,class interval,類區間；組距,,,2017/7/24
3192154,class limit,組限；組距,,,2017/7/24
3192155,class midpoint,組中點,,,2017/7/24
3192156,clockwise,順時針的,,,2017/7/24
3192157,clockwise direction,順時針方向,,,2017/7/24
3192158,closed interval,閉區間,,,2017/7/24
3192159,closure property,封閉性,,,2017/7/24
3192160,cluster sampling,群落抽樣；群體抽樣,,,2017/7/24
3192161,codomain,對應域,,,2017/7/24
3192162,coefficient,係數,,,2017/7/24
3192163,cofactor　,餘因子,,,2017/7/24
3192164,coincidence,重合,,,2017/7/24
3192165,column,行,,,2017/7/24
3192166,column matrix　,行矩陣,,,2017/7/24
3192167,combination,組合；配合,,,2017/7/24
3192168,common difference,公差,,,2017/7/24
3192169,common factor,公因子；公因數；公因式,,,2017/7/24
3192170,common logarithm,常用對數,,,2017/7/24
3192171,common multiple,公倍數；公倍式,,,2017/7/24
3192172,common ratio,公比,,,2017/7/24
3192173,commutative law,交換律,,,2017/7/24
3192174,commutative law of addition,加法交換律,,,2017/7/24
3192175,commutative law of multiplication,乘法交換律,,,2017/7/24
3192176,complement,餘；補；補碼；補數；餘補,,,2017/7/24
3192177,complement angle,餘角,,,2017/7/24
3192178,complement identity　　　,餘角恆等式,,,2017/7/24
3192179,complement relation,餘角關係[式],,,2017/7/24
3192180,complementary angle,餘角,,,2017/7/24
3192181,complementary event,餘事件,,,2017/7/24
3192182,complementary set,餘集[合],,,2017/7/24
3192183,completing the square,配方[法],,,2017/7/24
3192184,complex conjugate,共軛複數,,,2017/7/24
3192185,complex fraction,繁分數；繁分式,,,2017/7/24
3192186,complex number,複數,,,2017/7/24
3192187,complex plane,複數平面,,,2017/7/24
3192188,component,分量；連通[分]支；連通區,,,2017/7/24
3192189,composite function,合成函數,,,2017/7/24
3192190,composite number,合數,,,2017/7/24
3192191,compound interest,複利,,,2017/7/24
3192192,compound number,複名數,,,2017/7/24
3192193,concave downward　,凹口向下,,,2017/7/24
3192194,concave upward,凹口向上,,,2017/7/24
3192195,concavity,凹性,,,2017/7/24
3192196,conditional inequality　,條件不等式,,,2017/7/24
3192197,conditional probability,條件機率,,,2017/7/24
3192198,cone,錐；錐面,,,2017/7/24
3192199,confidence interval,信賴區間,,,2017/7/24
3192200,confidence level,信心水準,,,2017/7/24
3192201,congruence　　　　　　　　　　,同餘；疊合；全等；線匯,,,2017/7/24
3192202,conic section,圓錐截痕,,,2017/7/24
3192203,conjugate axis,共軛軸,,,2017/7/24
3192204,conjugate complex number,共軛複數,,,2017/7/24
3192205,conjugate hyperbola,共軛雙曲線,,,2017/7/24
3192206,conjugate hyperbola,共軛雙曲線,,,2017/7/24
3192207,consistent equations,相容方程[組],,,2017/7/24
3192208,consistent system of equations,相容方程組,,,2017/7/24
3192209,constant function,常數函數,,,2017/7/24
3192210,constant term,常數項,,,2017/7/24
3192211,contingency table　,列聯表,,,2017/7/24
3192212,continuous data,連續數據,,,2017/7/24
3192213,continuous function,連續函數,,,2017/7/24
3192214,convergence,收斂,,,2017/7/24
3192215,convergent sequence,收斂序列；收斂數列,,,2017/7/24
3192216,convergent series,收斂級數,,,2017/7/24
3192217,coordinate,坐標,,,2017/7/24
3192218,coordinate axis,坐標軸,,,2017/7/24
3192219,coordinate plane,坐標平面,,,2017/7/24
3192220,coordunate representation,坐標表示法,,,2017/7/24
3192221,coprime,互質,,,2017/7/24
3192222,correlation coefficient,相關係數,,,2017/7/24
3192223,cosecant,餘割,,,2017/7/24
3192224,cosecant function,餘割函數,,,2017/7/24
3192225,cosine,餘弦,,,2017/7/24
3192226,cotangent,餘切,,,2017/7/24
3192227,cotangent function　　　　　　,餘切函數,,,2017/7/24
3192228,coterminal angles　　　　　　　,同界角　,,,2017/7/24
3192229,counterclockwise,逆時針的,,,2017/7/24
3192230,counterclockwise direction,逆時針方向,,,2017/7/24
3192231,Cramer's formula,克拉瑪公式,,,2017/7/24
3192232,Cramer's rule　,克拉瑪法則,,,2017/7/24
3192233,critical point,臨界點,,,2017/7/24
3192234,critical value　,臨界值,,,2017/7/24
3192235,cross analysis,交叉分析,,,2017/7/24
3192236,cross product,叉積；向量積；外積,,,2017/7/24
3192237,cube,立方；立方體,,,2017/7/24
3192238,cubic root,立方根,,,2017/7/24
3192239,cubic　　　　　　　　　　　　　　,三次的,,,2017/7/24
3192240,cuboid,長方體,,,2017/7/24
3192241,cumulative frequency,累積次數；累積頻率,,,2017/7/24
3192242,cumulative frequency curve,累積次數曲線,,,2017/7/24
3192243,cumulative frequency distribution,累積次數分配,,,2017/7/24
3192244,cumulative relative frequency,累積相對次數,,,2017/7/24
3192245,cumulative relative frequency polygon,累積相對次數折線圖,,,2017/7/24
3192246,cylinder,柱；柱面,,,2017/7/24
3192247,data,資料；數據,,,2017/7/24
3192248,De Moivre formula,棣美弗公式,,,2017/7/24
3192249,De Morgan law,笛摩根法則,,,2017/7/24
3192250,decimal,小數；十進制小數,,,2017/7/24
3192251,decimal point,小數點,,,2017/7/24
3192252,definite integral,定積分,,,2017/7/24
3192253,degree,次[數]；度[數],,,2017/7/24
3192254,degree measure　　　　　　　,角度[法],,,2017/7/24
3192255,denominator,分母,,,2017/7/24
3192256,denseness,稠密性,,,2017/7/24
3192257,density,密度；稠密性,,,2017/7/24
3192258,dependent events,相依事件,,,2017/7/24
3192259,dependent system of equations,相依方程組,,,2017/7/24
3192260,dependent variable,應變數；依變數；因變數；應變量,,,2017/7/24
3192261,derivative,導數,,,2017/7/24
3192262,derivatives of higher order,高階導數,,,2017/7/24
3192263,descending power,降冪,,,2017/7/24
3192264,descriptive statistics,敘述統計[學],,,2017/7/24
3192265,determinant,行列式,,,2017/7/24
3192266,determinant of order n,n階行列式,,,2017/7/24
3192267,determinantal expansion,行列式的展開式,,,2017/7/24
3192268,deviation,偏差,,,2017/7/24
3192269,diameter,直徑,,,2017/7/24
3192270,difference,差；差分,,,2017/7/24
3192271,difference of events,差事件　,,,2017/7/24
3192272,difference set,差集,,,2017/7/24
3192273,differentiable function,可微[分]函數,,,2017/7/24
3192274,differentiable　,可微[分]的,,,2017/7/24
3192275,digit,數字,,,2017/7/24
3192276,dihedral angle,二面角,,,2017/7/24
3192277,direct proof,直接證明,,,2017/7/24
3192278,directed angle,有向角,,,2017/7/24
3192279,directed line segment,有向線段,,,2017/7/24
3192280,direction,方向,,,2017/7/24
3192281,direction angle,方向角,,,2017/7/24
3192282,direction cosine,方向餘弦,,,2017/7/24
3192283,direction vector,方向向量,,,2017/7/24
3192284,directrix,準線,,,2017/7/24
3192290,disc method,圓盤法　,,,2017/7/24
3192285,discrete data,離散數據,,,2017/7/24
3192286,discreteness of integers,整數的離散性,,,2017/7/24
3192287,discriminant,判別式　,,,2017/7/24
3192288,disjoint events,分離事件,,,2017/7/24
3192289,disk method,圓盤法　,,,2017/7/24
3192291,displacement,位移,,,2017/7/24
3192292,distance,距離,,,2017/7/24
3192293,distance formula,距離公式　,,,2017/7/24
3192294,distributive law,分配律,,,2017/7/24
3192295,divergence,發散[性]；散度； 發散量,,,2017/7/24
3192296,divergent sequence,發散序列,,,2017/7/24
3192297,divergent series,發散級數,,,2017/7/24
3192298,dividend,被除數；被除式,,,2017/7/24
3192299,division,除[法],,,2017/7/24
3192300,division algorithm,除法算則；長除法,,,2017/7/24
3192301,divisor,因子；因式；因數；除數,,,2017/7/24
3192302,domain,[區]域；定義域,,,2017/7/24
3192303,domain of definition,定義域,,,2017/7/24
3192304,domain of function　　　　　　,函數的定義域,,,2017/7/24
3192305,double angle formula,倍角公式,,,2017/7/24
3192306,double root,二重根,,,2017/7/24
3192307,edge,稜；邊,,,2017/7/24
3192308,element,元素,,,2017/7/24
3192309,elementary event,基本事件,,,2017/7/24
3192310,elimination by addition or subtraction,加減消去法,,,2017/7/24
3192311,elimination by comparison,比較消去法,,,2017/7/24
3192312,elimination by substitution,代入消去法,,,2017/7/24
3192313,ellipse,橢圓,,,2017/7/24
3192314,empty set,空集,,,2017/7/24
3192315,equation,方程[式],,,2017/7/24
3192316,equation of line,直線方程式,,,2017/7/24
3192317,equation of sphere,球面方程式　,,,2017/7/24
3192318,equation of tangent line,切線方程式,,,2017/7/24
3192319,equator,赤道　,,,2017/7/24
